Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case50,11,1.093582739,0.232580137,2.6,"[4, 1, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.9965563882386586,28.6,219.9747190475464
case51,35,3.13748988,5.50511445,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2, 2, 4, 4, 4]",0.99999101286285,91.0,257.1687924861908
case52,0,0.19169683,5.14225985,2.6,[],0.9908411800617971,0.0,0.0
case53,27,2.677040284,5.957901179,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.9922270879729016,70.2,240.2832441329956
case54,33,2.779674105,2.360690633,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 4, 4, 1, 3]",0.99968826289349,85.8,221.0227072238922
case55,10,0.58889538,1.09999585,2.6,"[1, 1, 3, 0, 4, 4, 4, 4, 0, 1]",0.9999973020505045,26.0,244.30403351783752
case56,27,2.093861106,0.089224839,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 2, 2, 0]",0.9999996728013492,70.2,249.34318614006042
case57,18,1.248175043,6.234102154,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 0, 4, 1, 4, 1]",0.9999998270723596,46.800000000000004,282.04967856407166
case58,33,2.72361181,2.46710362,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 4, 4, 1, 1]",0.9994951914043742,85.8,283.7473523616791
case59,27,2.386379045,3.425923994,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4]",0.9982001852250676,70.2,285.09300422668457
case60,10,1.117363344,0.808335609,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9916452206947859,26.0,278.12209248542786
case61,28,2.696448963,5.024954354,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",0.9921651157324815,72.8,288.62457847595215
case62,28,2.757291958,0.95272227,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9917206576592374,72.8,289.191871881485
case63,19,1.866943717,1.705198557,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 4, 1, 1, 3]",0.9907254063277958,49.4,285.0477979183197
case64,18,1.725946605,2.136391128,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 1, 1, 3, 3]",0.9938953573108211,46.800000000000004,285.3529210090637
case65,18,1.548623154,4.239144339,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 1, 1, 1, 3, 3, 2, 2]",0.9976322771815288,46.800000000000004,284.2470643520355
case66,4,0.535893399,1.608078966,2.6,"[4, 1, 1, 3]",0.9933578447508343,10.4,2.208432197570801
case67,11,1.188953009,0.113634784,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.9914456568315946,28.6,281.78282260894775
case68,1,0.21300727,6.24477453,2.6,[1],0.9959198263048539,2.6,0.007003068923950195
case69,26,2.2112271,3.987494214,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 2, 3, 2]",0.999990811537561,67.60000000000001,286.06872510910034
case70,24,2.390952167,2.151441417,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.9923369161385379,62.400000000000006,285.7749147415161
case71,32,3.054480792,0.288033653,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",0.9940195601624612,83.2,286.62652492523193
case72,1,0.232709785,5.99201223,2.6,[1],0.9930875296291651,2.6,0.011458873748779297
case73,0,0.134258942,4.319445938,2.6,[],0.9955003991684954,0.0,0.0
case74,3,0.359004218,5.149274638,2.6,"[2, 4, 4]",0.9975508695002956,7.800000000000001,0.470836877822876
case75,18,1.677667366,6.090359365,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 2, 2, 4, 4, 1]",0.998907153272665,46.800000000000004,283.3857614994049
case76,10,0.661947762,1.36800423,2.6,"[1, 1, 3, 4, 2, 4, 4, 1, 1, 0]",0.9999959753793448,26.0,278.73903584480286
case77,18,1.672592306,3.122967069,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 1, 3, 3, 2]",0.9994705410039518,46.800000000000004,281.24364042282104
case78,18,1.322644294,1.096655474,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 1, 3, 3]",0.9999807030739565,46.800000000000004,284.0508189201355
case79,27,2.5535377,0.06557917,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",0.9984028020938397,70.2,286.3353006839752
case80,18,1.739893621,1.34198659,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 4, 4, 1, 1, 3]",0.9953994673049209,46.800000000000004,282.50964999198914
case81,26,2.0939719871020417,3.999670571801562,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 0, 3, 3, 2]",0.9999976181836662,67.60000000000001,285.40951132774353
case82,28,2.768687938,0.854334195,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9930923440417191,72.8,282.8572244644165
