gate lenght,Theta,Phi,dt,combination,total time,computing time
13,2.37717084,3.097662937,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",65,9.720518112
12,1.870408427,1.037800408,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,119.7135518
9,1.591023997,3.648543275,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.474131346
14,2.479125437,1.456996243,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3]",70,19.70870924
14,2.44079672,4.399815242,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",70,23.69223285
17,2.877164431,2.567548036,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2]",85,178.9395247
10,1.38907251,4.696713857,5,"[2, 4, 1, 3, 3, 2, 1, 1, 2, 2]",50,82.16154313
11,1.727343862,5.853361712,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4]",55,98.53408217
6,0.737788101,3.024650788,5,"[3, 2, 4, 4, 1, 0]",30,9.861465931
4,0.873409877,3.669550686,5,"[4, 1, 3, 2]",20,1.111245155
18,2.917971226,4.520797887,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,184.302556
18,2.759558575,4.022659964,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3, 2, 2]",90,385.5143726
2,0.380268782,2.177916426,5,"[1, 3]",10,0.646142483
10,1.351058598,4.811166375,5,"[2, 4, 1, 3, 2, 2, 4, 3, 2, 0]",50,87.70650458
3,0.454114138,5.92324703,5,"[3, 2, 1]",15,1.77239418
3,0.678324105,0.590606608,5,"[2, 4, 1]",15,0.401088476
1,0.214944341,4.539179205,5,[2],5,0.014002562
14,2.210095153,3.761754604,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",70,114.8908062
11,1.337341932,3.228854948,5,"[1, 3, 3, 4, 1, 3, 2, 4, 4, 3, 1]",55,187.2158253
14,2.321770177,0.652839914,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,43.67979789
14,2.223673612,0.602272428,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,81.65505242
18,3.008643,1.94603589,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 1, 1]",90,204.8392868
0,0.086952242,0.699473427,5,[],0,0.001994133
10,1.459345733,1.14430439,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1]",50,61.20902133
3,0.708879152,3.688759354,5,"[1, 3, 2]",15,0.916209936
7,1.076409439,2.852087334,5,"[1, 3, 2, 2, 4, 1, 3]",35,20.98363876
8,1.414734648,5.366731205,5,"[1, 3, 2, 4, 1, 3, 2, 4]",40,2.906633854
17,2.619451298,2.719832819,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",85,314.1058061
18,2.835890477,3.810553618,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4, 3, 2, 2]",90,338.6045337
