Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case81,1,1.2166497534214393,1.8319861626926819,5.464531341878796,2.6,[-1],2.6,2818.3314266204834
case82,18,1.7637429143249677,0.06803425285664676,0.8448421844139494,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,7.505070686340332
case83,10,0.9630290256227151,2.7148345619390266,5.75486266763909,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3]",26.0,4.901081085205078
case84,33,2.971972933355311,5.571970375235586,4.198956428641035,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,91.38759970664978
case85,19,1.395534895418545,3.634127309987396,0.3444596162488672,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 1]",49.4,1445.394766330719
case86,27,2.4645552178682686,0.47295755893869235,3.4751373146812212,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1]",70.2,39.41987371444702
case87,1,1.3235916696448773,2.8362145045395333,0.46889189051464797,2.6,[-1],2.6,2737.705506801605
case88,18,1.4792047313378327,5.047139516317708,5.758450806580824,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,64.53579711914062
case89,11,1.08641381745957,4.040488188780228,3.681058003303971,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",28.6,3.5601348876953125
case90,10,1.0485006148519327,1.6597247052020432,2.4347724928561467,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",26.0,3.4498937129974365
case91,1,1.185559720979827,5.009289663886541,0.5038235380678979,2.6,[-1],2.6,2875.9743881225586
