gate length,Theta,Phi,dt,combination,total time,computing time
24,2.505922827,2.359296062,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",72,137.6448696
23,2.110781717,1.721521409,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0, 1, 4]",69,829.6703901
24,2.292207278,5.814259883,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 2, 4]",72,649.7359622
6,0.650535192,4.083856699,3,"[4, 1, 1, 3, 2, 4]",18,8.316354513
22,2.267929981,0.50585319,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3]",66,170.8812308
18,1.794199788,1.968577454,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 0, 3]",54,142.8943005
28,3.062348161,5.391187146,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",84,130.9351811
7,0.573678078,4.464866688,3,"[4, 1, 1, 3, 2, 3, 2]",21,14.29443216
10,0.983597186,0.903651397,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 3]",30,22.01183939
26,2.894142741,1.12845406,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1]",78,116.3596935
20,2.125142817,3.535597756,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2]",60,73.95991254
17,1.657735232,2.254890275,3,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 2]",51,153.3100872
28,3.028280253,0.614574064,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1]",84,131.2422588
13,1.268672511,2.464239978,3,"[2, 4, 4, 1, 3, 2, 2, 4, 4, 1, 1, 3, 3]",39,78.55397725
14,1.336557706,4.729166532,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 2, 0, 4]",42,101.5002291
24,2.557635397,1.156868979,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",72,103.6621797
26,2.793462101,4.139986403,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",78,122.9974844
0,0.113929318,2.085151222,3,[],0,0.003031015
0,0.195288882,2.539822432,3,[],0,0.003004074
25,2.683930035,0.194812928,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1]",75,111.2579322
25,2.659119934,3.876042732,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3]",75,268.4160659
22,2.309881758,3.738554606,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",66,89.20251131
21,2.013486567,6.033970884,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 4, 4, 3]",63,376.4127707
8,1.010906093,3.871545907,3,"[2, 4, 4, 1, 1, 3, 2, 2]",24,9.227923155
8,0.845441326,1.902601862,3,"[3, 2, 2, 4, 4, 1, 1, 3]",24,14.45375371
4,0.6075243,3.380739152,3,"[1, 3, 3, 2]",12,1.940037727
19,2.028713841,2.743168598,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3]",57,60.92767549
22,2.229041783,5.760692308,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",66,289.4427714
25,2.723349714,3.234391848,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2]",75,115.7668431
17,1.536593672,5.711086304,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 2, 1]",51,533.681829
22,2.242552908,0.666633024,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3]",66,135.2743757
7,0.725558162,0.326719154,3,"[1, 3, 3, 2, 4, 1, 1]",21,13.85332227
1,0.311006198,0.541299595,3,[1],3,0.022029877
8,0.888639155,0.980454971,3,"[1, 3, 3, 2, 2, 4, 1, 3]",24,15.64118075
21,2.203380888,4.356986341,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",63,96.95904756
2,0.343943406,6.141633084,3,"[4, 1]",6,0.17410183
21,2.329144371,0.029248645,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4]",63,115.4252231
4,0.485652435,4.842811303,3,"[3, 2, 2, 4]",12,1.363829613
3,0.42573284,5.392560385,3,"[2, 4, 4]",9,0.441286087
1,0.224468566,5.100523357,3,[4],3,0.017625093
24,2.542710498,5.504739549,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4]",72,86.35884023
0,0.192033676,2.377059263,3,[],0,0.00200367
21,1.835949239,0.655125051,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 2, 4, 4]",63,4145.317979
5,0.522411587,4.331578051,3,"[1, 3, 3, 2, 2]",15,3.164491177
14,1.475173413,4.523433315,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4]",42,21.79137063
6,0.793705978,3.297362468,3,"[4, 1, 1, 3, 3, 2]",18,3.21880579
12,1.257024617,4.326538916,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",36,17.80783677
18,1.987610144,0.262355611,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1]",54,41.30161095
24,2.208459519,2.567829383,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0, 0, 3, 0]",72,847.8571222
7,0.850957698,2.541626696,3,"[2, 4, 4, 1, 1, 3, 3]",21,8.508569479
25,2.736919068,0.445893787,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1]",75,117.411171
26,2.574691748,4.133935016,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2, 2, 0]",78,459.5820985
7,0.778065527,4.302151887,3,"[4, 1, 1, 3, 3, 2, 4]",21,6.301812172
28,2.819769741,0.584228837,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0]",84,371.9218247
6,0.792272888,5.087711271,3,"[1, 3, 3, 2, 2, 4]",18,4.348726749
18,1.916357338,1.863657727,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3]",54,68.39319372
19,2.035168979,4.086004726,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 4]",57,77.40020204
12,1.14088365,1.197054906,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 0]",36,66.09390736
17,1.777987831,3.077616063,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2]",51,162.2579317
8,0.99491765,2.309243064,3,"[3, 2, 2, 4, 4, 1, 3, 3]",24,6.053465605
12,1.416394152,4.331098667,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",36,16.79222226
19,1.881066883,4.165127259,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3, 4]",57,179.5528958
19,2.132754993,4.202842105,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",57,66.37152863
8,0.903737681,3.568247051,3,"[2, 4, 4, 1, 1, 3, 2, 2]",24,10.33117676
6,0.691207811,3.535604242,3,"[4, 1, 1, 3, 3, 2]",18,4.546419144
24,2.605363294,1.135335785,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",72,104.8299389
26,2.755169354,4.635378619,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2]",78,154.16924
9,0.920383245,1.294508167,3,"[1, 3, 3, 2, 2, 4, 1, 1, 1]",27,15.34727168
4,0.535806567,0.072952923,3,"[2, 4, 4, 1]",12,0.97813201
4,0.569145193,4.858121988,3,"[3, 2, 2, 4]",12,1.547035694
18,1.601015639,3.433947394,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 0, 0, 3]",54,621.1180644
17,1.741934755,3.163500241,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2]",51,153.731457
23,2.362313527,2.258581635,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3]",69,316.9987772
10,0.941130549,1.003701573,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 0]",30,31.32201791
8,0.828345918,3.358887773,3,"[2, 4, 4, 1, 1, 3, 3, 2]",24,15.57926488
18,1.717137978,0.355863039,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 2, 4, 3]",54,273.0313909
15,1.402620659,0.874161911,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 0, 3]",45,125.4346354
21,2.237734534,0.316606008,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4, 4, 1]",63,234.3404834
27,2.777999623,5.006323562,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 4, 4]",81,310.0099971
20,2.17011639,5.271456071,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",60,70.77213073
11,1.199363157,2.080362362,3,"[4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 3]",33,56.53534293
0,0.045989485,5.232518246,3,[],0,0.002999544
17,1.895167754,2.452251082,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",51,45.31562185
0,0.008298696,0.16790437,3,[],0,0.003000975
0,0.16630708,3.037864222,3,[],0,0.002999783
17,1.822869622,5.558596458,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4]",51,45.53395081
10,1.214737643,2.479887183,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3]",30,16.59207749
12,0.996328552,1.237836348,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 1, 1, 2]",36,150.6316164
19,1.808904093,4.436619169,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 3, 0]",57,318.0650804
4,0.55801374,0.286433467,3,"[2, 4, 4, 1]",12,1.377679825
17,1.834231691,0.760419913,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",51,43.93294358
