gate length,Theta,Phi,dt,combination,total time,computing time
5,0.550107311,3.372757587,2.6,"[1, 1, 3, 3, 2]",13,1.781398296
5,0.504259985,0.362903337,2.6,"[2, 2, 4, 4, 1]",13,1.98244071
6,0.722851629,1.44479049,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.608579159
6,0.712078794,1.671769278,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.283728838
6,0.583275204,2.711736194,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.561795473
6,0.744482454,5.446790898,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.632811785
6,0.617383069,5.690708659,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.664814472
7,0.710532107,3.434968795,2.6,"[4, 4, 1, 1, 3, 3, 2]",18.2,6.067348957
4,0.520588978,0.482847833,2.6,"[4, 4, 1, 1]",10.4,10.68838906
4,0.5388232,2.756997427,2.6,"[1, 3, 3, 3]",10.4,12.72984457
5,0.585250169,0.40336836,2.6,"[2, 4, 4, 1, 1]",13,15.76852369
6,0.630826949,1.319803718,2.6,"[2, 4, 4, 1, 1, 3]",15.6,17.80998015
6,0.655641296,2.832540545,2.6,"[4, 1, 1, 3, 3, 2]",15.6,22.38700342
7,0.701646054,2.053286612,2.6,"[2, 4, 4, 1, 1, 3, 3]",18.2,24.18737459
6,0.693961788,5.932891603,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.61980939
8,0.726324159,4.405647974,2.6,"[4, 1, 1, 3, 3, 2, 2, 2]",20.8,48.84991837
4,0.557347275,1.463443975,2.6,"[4, 1, 1, 3]",10.4,0.372083426
4,0.50369535,4.895703625,2.6,"[3, 2, 2, 4]",10.4,0.693154812
4,0.545697735,3.881142577,2.6,"[3, 3, 2, 2]",10.4,0.884197474
5,0.552800926,2.23229521,2.6,"[4, 1, 1, 3, 3]",13,1.335299253
5,0.575363074,3.863913179,2.6,"[1, 3, 3, 2, 2]",13,1.744387627
5,0.640021112,3.93917643,2.6,"[1, 3, 3, 2, 2]",13,1.77039361
5,0.553940653,3.342621506,2.6,"[1, 1, 3, 3, 2]",13,1.781398296
5,0.519427899,1.95515388,2.6,"[4, 4, 1, 1, 3]",13,1.98244071
6,0.643961441,1.570310591,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.608579636
6,0.669875617,1.686555903,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.283733368
6,0.635396199,2.661787077,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.561795712
6,0.64387221,2.614383775,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.632812023
6,0.659640234,5.597189874,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.664814472
7,0.654261376,5.057756123,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.067349434
5,0.513510977,4.464310547,2.6,"[3, 3, 2, 2, 4]",13,10.68937469
4,0.534969985,2.737390518,2.6,"[1, 3, 3, 3]",10.4,12.72984505
5,0.585466803,3.709778874,2.6,"[1, 3, 3, 2, 2]",13,15.76952362
6,0.631097115,1.35884197,2.6,"[2, 4, 4, 1, 1, 3]",15.6,17.81096029
7,0.663975386,6.046247508,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,22.38800359
6,0.577516006,2.729558696,2.6,"[4, 1, 1, 1, 3, 3]",15.6,24.18740654
6,0.692617475,5.908068149,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.61984372
8,0.726286262,2.849196273,2.6,"[2, 4, 4, 1, 1, 3, 3, 3]",20.8,48.86592221
4,0.569322228,3.031397961,2.6,"[1, 3, 3, 2]",10.4,0.372083426
4,0.506843822,3.370043101,2.6,"[1, 3, 3, 2]",10.4,0.693154812
4,0.546863152,5.410073167,2.6,"[2, 2, 4, 4]",10.4,0.884197474
5,0.584031634,0.659749173,2.6,"[2, 4, 4, 1, 1]",13,1.335299253
5,0.627968383,2.353244436,2.6,"[4, 1, 1, 3, 3]",13,1.744387865
5,0.590342101,1.818304657,2.6,"[4, 4, 1, 1, 3]",13,1.770393848
5,0.556533718,0.251243509,2.6,"[2, 2, 4, 4, 1]",13,1.781398296
5,0.603638724,0.348977211,2.6,"[2, 2, 4, 4, 1]",13,1.98244071
6,0.67591077,1.470171699,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.608579636
6,0.674734329,1.777748768,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.283733368
6,0.571640756,2.655462363,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.56179595
6,0.667772372,0.890262608,2.6,"[2, 2, 4, 4, 1, 1]",15.6,3.632812023
6,0.65354656,4.125285987,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.664814711
7,0.705936839,3.449298762,2.6,"[4, 4, 1, 1, 3, 3, 2]",18.2,6.067349672
5,0.524778195,3.009147757,2.6,"[1, 1, 3, 3, 2]",13,10.68937588
4,0.537675156,5.799751061,2.6,"[2, 4, 4, 4]",10.4,12.72984505
5,0.592603679,2.109973936,2.6,"[4, 1, 1, 3, 3]",13,15.77052522
6,0.620081318,6.079081889,2.6,"[3, 2, 2, 4, 4, 1]",15.6,17.81098056
7,0.659926866,6.009006109,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,22.39100409
7,0.695252577,3.5666772,2.6,"[4, 1, 1, 3, 3, 2, 2]",18.2,24.18837905
6,0.697554067,1.198331103,2.6,"[2, 4, 4, 1, 1, 1]",15.6,30.62484503
8,0.728662909,4.420130951,2.6,"[4, 1, 1, 3, 3, 2, 2, 2]",20.8,48.86992192
4,0.516524982,3.041256107,2.6,"[1, 3, 3, 2]",10.4,0.376083612
4,0.516991094,3.409573344,2.6,"[1, 3, 3, 2]",10.4,0.693154812
4,0.556887471,3.870759627,2.6,"[3, 3, 2, 2]",10.4,0.884197474
5,0.527184498,3.775341346,2.6,"[1, 3, 3, 2, 2]",13,1.336296558
5,0.62639529,2.26313642,2.6,"[4, 1, 1, 3, 3]",13,1.744388103
5,0.637448692,5.408491737,2.6,"[3, 2, 2, 4, 4]",13,1.770393848
5,0.581037129,4.908528163,2.6,"[3, 3, 2, 2, 4]",13,1.781398296
5,0.538894809,1.920358168,2.6,"[4, 4, 1, 1, 3]",13,1.982440948
6,0.582817796,1.567011408,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.608579874
6,0.671556457,1.834163517,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.284729719
6,0.575814475,2.67804681,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.56179595
6,0.702621874,0.884834152,2.6,"[2, 2, 4, 4, 1, 1]",15.6,3.632812023
6,0.677954364,4.096372558,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.664814711
7,0.682825683,5.049182714,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.067355394
5,0.540902112,4.575606021,2.6,"[3, 3, 2, 2, 4]",13,10.68937659
4,0.527774446,1.158095106,2.6,"[4, 1, 1, 1]",10.4,12.72984529
5,0.586422473,0.4411003,2.6,"[2, 4, 4, 1, 1]",13,15.77152443
6,0.620699619,2.887938837,2.6,"[4, 1, 1, 3, 3, 2]",15.6,17.81098127
7,0.665300323,2.92098629,2.6,"[4, 4, 1, 1, 3, 3, 2]",18.2,22.39100409
6,0.577954622,2.733482166,2.6,"[4, 1, 1, 1, 3, 3]",15.6,24.18938017
6,0.695639244,4.364367491,2.6,"[1, 3, 3, 2, 2, 2]",15.6,30.62492061
8,0.726368878,4.453191609,2.6,"[4, 1, 1, 3, 3, 2, 2, 2]",20.8,48.87486053
4,0.541184113,3.037522126,2.6,"[1, 3, 3, 2]",10.4,0.37708354
4,0.520952216,3.431355226,2.6,"[1, 3, 3, 2]",10.4,0.693154812
4,0.557949773,0.876355016,2.6,"[4, 4, 1, 1]",10.4,0.884197474
5,0.650687095,3.744692781,2.6,"[1, 3, 3, 2, 2]",13,1.336296797
5,0.593477869,2.251220974,2.6,"[4, 1, 1, 3, 3]",13,1.744388342
5,0.584737234,5.554695576,2.6,"[3, 2, 2, 4, 4]",13,1.770394087
5,0.591262785,5.664613127,2.6,"[3, 2, 2, 4, 4]",13,1.781398296
5,0.588561601,1.921372228,2.6,"[4, 4, 1, 1, 3]",13,1.982442856
6,0.604536888,1.471556248,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.608580112
6,0.730639098,1.663730388,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.284729719
6,0.645165976,4.212545344,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.562795401
6,0.713783853,5.470104277,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.632812023
6,0.583226734,5.760314111,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.664814949
7,0.740007428,0.290258689,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,6.067355633
5,0.513096369,4.371897384,2.6,"[3, 3, 2, 2, 4]",13,10.68938851
4,0.528216373,1.171535861,2.6,"[4, 1, 1, 1]",10.4,12.72984529
5,0.587981093,1.993050505,2.6,"[4, 1, 1, 3, 3]",13,15.77452564
6,0.636027405,2.895784656,2.6,"[4, 1, 1, 3, 3, 2]",15.6,17.81198049
7,0.656985904,6.008502995,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,22.39100432
6,0.577698758,2.730455446,2.6,"[4, 1, 1, 1, 3, 3]",15.6,24.19137979
6,0.696423159,1.211014322,2.6,"[2, 4, 4, 1, 1, 1]",15.6,30.6268456
8,0.72431745,2.840818798,2.6,"[2, 4, 4, 1, 1, 3, 3, 3]",20.8,48.87992525
4,0.504646873,3.043115524,2.6,"[1, 3, 3, 2]",10.4,0.377083778
4,0.521180723,3.394573843,2.6,"[1, 3, 3, 2]",10.4,0.693154812
4,0.504843344,0.986360823,2.6,"[4, 4, 1, 1]",10.4,0.884197712
5,0.653398289,2.183935448,2.6,"[4, 1, 1, 3, 3]",13,1.336297035
5,0.580274203,0.796304017,2.6,"[2, 4, 4, 1, 1]",13,1.744389534
5,0.599415268,1.766036217,2.6,"[4, 4, 1, 1, 3]",13,1.770394087
5,0.603323932,1.800123284,2.6,"[4, 4, 1, 1, 3]",13,1.781398296
5,0.500503013,1.972708866,2.6,"[4, 4, 1, 1, 3]",13,1.982443094
6,0.641137539,1.50321563,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.608580351
6,0.708994093,1.740731832,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.285734177
6,0.59936946,1.106849699,2.6,"[2, 2, 4, 4, 1, 1]",15.6,3.562795639
6,0.745815634,3.929375868,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.632812023
