Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case77,26,2.0729068143147873,2.688447268620057,2.5042079252117633,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 4, 3, 3]",67.60000000000001,696.3576946258545
case78,18,1.6943959741113637,4.066891844002894,4.509061321638077,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.800000000000004,7.128973484039307
case79,33,2.9462217169422207,6.254782633323583,5.368463967773298,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",85.8,105.02335548400879
case80,1,0.21995459191189415,4.801263694914903,4.417616962905381,2.6,[4],2.6,0.008417606353759766
case81,18,1.4988346964442023,5.868944282518519,4.709492706090951,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4]",46.800000000000004,36.86623287200928
case82,18,1.7321038387843124,3.662424785596263,4.543040743887066,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.800000000000004,8.13493037223816
case83,1,1.1733148342402009,2.8209891801029294,0.05204963994184515,2.6,[-1],2.6,2797.766345500946
case84,19,1.4720566327228064,4.910183887203628,0.4007368057000479,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 3]",49.4,599.7065641880035
case85,18,1.3640606957731265,0.5494302429704846,5.412592507292629,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 0]",46.800000000000004,200.90643692016602
case86,11,0.9921868660727444,5.815817801137314,2.1476930627420483,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",28.6,5.958108901977539
case87,33,2.8969914638885013,0.9523767530702762,2.534209852819396,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,160.85567784309387
case88,26,2.4638306823250127,1.8441187819757967,1.4395791509672837,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",67.60000000000001,14.347729682922363
case89,10,0.7491579183202298,0.40612275476508075,4.749952925362121,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 0, 0]",26.0,13.644052028656006
case90,1,1.6925336073586665,2.536241504210105,2.5914490224214397,2.6,[-1],2.6,2880.717003583908
case91,1,1.8379034360686255,3.2725190917810636,3.4345766426290045,2.6,[-1],2.6,2766.36647439003
case92,26,2.5174375711696215,1.7393531864210148,2.182875159805915,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",67.60000000000001,16.457499742507935
case93,19,1.5276867462965007,0.9805687780411279,1.8128752708062932,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 1, 4, 1, 1, 3, 3, 2]",49.4,354.6010146141052
case94,10,1.0034857167399214,0.045338360912266125,4.0440362222621795,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",26.0,3.471626043319702
case95,10,0.6365513711143105,5.793743719405154,4.732966895489598,2.6,"[4, 1, 1, 3, 3, 2, 0, 2, 1, 0]",26.0,41.78916811943054
case96,10,0.7258894863020576,3.1010118347221725,2.7084411266001336,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 2, 1]",26.0,19.288906574249268
case97,18,1.4543781703076026,2.008941664417938,1.0097203693532626,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,147.04670405387878
case98,3,0.40538412333352747,6.006052678001172,0.5943701922564312,2.6,"[1, 1, 3]",7.800000000000001,0.21374845504760742
case99,33,2.6975519704090503,0.427024920334596,0.4036068335884994,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 4, 0, 4, 1]",85.8,768.3294868469238
case100,27,2.3601265628230697,0.3106069756936436,3.3590762160762138,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 2]",70.2,71.32933783531189
case101,26,2.6046074692624632,0.4951756023959544,2.0993669762982177,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",67.60000000000001,15.542905330657959
case102,27,2.2576967792314835,5.4668955811547875,0.02510551118906846,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 0, 3, 1]",70.2,174.34900283813477
case103,26,2.401334277273323,4.3567218869819255,4.458028974131971,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",67.60000000000001,22.46697497367859
case104,1,0.2516513309678255,2.509533194390156,2.0427237468353807,2.6,[2],2.6,0.01505279541015625
case105,3,0.4828655468220605,5.930825499247171,0.6068611138240915,2.6,"[1, 3, 3]",7.800000000000001,1.4164533615112305
case106,9,0.5667528211340264,5.458184736392461,3.3108499388702004,2.6,"[2, 4, 4, 1, 3, 2, 2, 0, 4]",23.400000000000002,36.55506896972656
case107,4,0.5442131246622303,4.523704600371726,2.2228114739812064,2.6,"[3, 3, 2, 2]",10.4,1.7015318870544434
case108,18,1.335289377807217,4.19643042021544,4.7977499398041665,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 4, 3, 4]",46.800000000000004,370.0676062107086
case109,19,1.3931577738407033,5.964239518515799,3.683826757460323,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 0, 1, 1]",49.4,772.271945476532
case110,11,0.7605561560981359,2.974684494696634,1.973227070641079,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 3]",28.6,45.779990673065186
case111,11,0.7904972571106391,0.8517297736317269,2.074371038345586,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 3, 0, 4]",28.6,49.45694971084595
case112,10,0.9678713454358588,0.6423595396278202,3.346584155877473,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",26.0,3.1366641521453857
case113,10,0.7248974565158647,0.4023629899649526,5.537705551323273,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 0, 4]",26.0,22.95878028869629
case114,11,0.7140124500164995,0.048744186576589105,3.5619126374408125,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 2, 1, 0]",28.6,106.996586561203
case115,26,2.5923361567991874,5.984901162980395,4.582384438160012,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",67.60000000000001,15.803539514541626
case116,18,1.5013102467022152,0.7781897582267754,3.0703888616169155,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 2, 0]",46.800000000000004,39.296143770217896
case117,0,0.1754664167228948,4.70029814386415,5.614055913137666,2.6,[],0.0,0.0019235610961914062
case118,27,2.539497523382242,3.7609474726512215,0.32212887410898816,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",70.2,15.721925258636475
case119,18,1.6371546893469804,5.851263233498768,2.448383798965612,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",46.800000000000004,10.667851209640503
case120,1,1.18402400934402,5.059653404613672,5.556744184532738,2.6,[-1],2.6,2579.8323996067047
case121,1,1.6641127533518745,4.0464357608962125,2.767661635406151,2.6,[-1],2.6,2704.136300802231
case122,26,2.3116731987948835,1.9282846596230707,6.135729722385949,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3, 3]",67.60000000000001,41.14928698539734
case123,10,0.8008587042338071,4.846262649792177,4.6884261158601985,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 2, 1]",26.0,10.208173274993896
case124,26,2.10804592088779,0.8203153325985592,5.600957006421596,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 4, 3, 0]",67.60000000000001,321.1281147003174
case125,4,0.46355466780091464,0.8080465249812969,1.553440839726383,2.6,"[1, 3, 3, 2]",10.4,0.45578503608703613
case126,1,1.0769652278052462,0.8811172618581292,5.941566597538325,2.6,[-1],2.6,2521.82843208313
case127,11,0.8161175832204397,1.9939567850268247,5.228225583773669,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 4, 1, 3]",28.6,60.26481795310974
case128,10,0.6544422701492775,5.838698388088253,2.6974259155890175,2.6,"[2, 2, 4, 4, 1, 1, 3, 1, 0, 4]",26.0,43.738292932510376
case129,26,2.0155361150090463,4.645827404244866,4.749640857274007,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 4, 3, 4]",67.60000000000001,1112.346916437149
case130,4,0.500748126154137,4.514770266909047,2.738803900208508,2.6,"[3, 2, 2, 2]",10.4,2.552821636199951
case131,18,1.792563835571787,1.3110610502683087,3.795250241581267,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,7.891159534454346
case132,18,1.6321847379016077,1.0126629747008966,5.468572411826902,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",46.800000000000004,11.636474609375
case133,1,1.331647380232927,4.547853386750663,2.045556334819638,2.6,[-1],2.6,2709.936924934387
case134,26,2.3071011589031882,5.735971057091794,2.9354240266543528,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1]",67.60000000000001,54.69280695915222
case135,1,2.0952379975567754,0.23197863835795562,5.92849107482486,2.6,[-1],2.6,2780.202721595764
case136,33,2.6374433418199525,1.613502438171337,2.260537720317611,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 4, 1, 0, 3]",85.8,1315.5443572998047
case137,10,0.9693981278039153,4.598354739124834,3.336155533468481,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",26.0,2.484895706176758
case138,1,1.9952217728043329,5.405999267601116,0.2580125234203362,2.6,[-1],2.6,2852.015238761902
case139,1,1.6939631432921258,5.860946216429381,2.5647961232607073,2.6,[-1],2.6,2864.0875101089478
case140,13,1.215613436882534,5.7737164078224374,1.3931329428224717,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",33.800000000000004,8.593932867050171
case141,1,1.1165047745833292,2.1136368475796266,2.8026333216728805,2.6,[-1],2.6,2737.872707605362
case142,11,0.7757116006760939,4.450022718551406,5.3733863973178835,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 0, 4, 4]",28.6,41.78354501724243
case143,18,1.724524129523261,2.636236041825083,3.9039954741057508,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.800000000000004,9.336409568786621
case144,26,2.195116858623139,5.040209551539418,3.8221520188213756,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 0, 1]",67.60000000000001,135.4893684387207
case145,5,0.5718833842827453,5.279243475000484,3.0518815415868144,2.6,"[3, 3, 2, 2, 4]",13.0,2.032417058944702
case146,34,2.7327435903258386,5.729087106690305,0.08795258740895677,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 3, 4, 4, 0]",88.4,1087.2829594612122
case147,18,1.4956054553929123,6.08221004355898,3.85592303915763,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 1]",46.800000000000004,50.28003263473511
case148,26,2.3984441519921553,1.9837518779886887,2.6688247957474545,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",67.60000000000001,22.344714403152466
case149,18,1.3876407285669046,3.111033399524162,3.784256492499384,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 1, 2, 1]",46.800000000000004,154.00916838645935
