4,0.569537917,5.452776153,2.6,"[2, 2, 4, 4]",10.4,0.88419795,,
5,0.562225674,2.174935928,2.6,"[4, 1, 1, 3, 3]",13,1.336298704,,
5,0.582328934,2.301278203,2.6,"[4, 1, 1, 3, 3]",13,1.745388269,,
5,0.66433436,3.249905132,2.6,"[1, 1, 3, 3, 2]",13,1.770395279,,
5,0.599627858,1.667738549,2.6,"[4, 4, 1, 1, 3]",13,1.781398773,,
5,0.558128309,1.925741017,2.6,"[4, 4, 1, 1, 3]",13,1.984442472,,
6,0.672228603,1.496685409,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.609583139,,
6,0.689694596,1.692406644,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.28973484,,
6,0.585210397,4.261719019,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.565796614,,
6,0.704637654,5.446612676,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.633812189,,
6,0.648028176,4.113110233,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.665815353,,
7,0.694326592,0.349289653,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,6.070356846,,
5,0.520578157,6.080458724,2.6,"[2, 2, 4, 4, 1]",13,10.69238949,,
4,0.532683714,5.936936782,2.6,"[2, 4, 4, 4]",10.4,12.73384571,,
5,0.593878649,5.163173674,2.6,"[3, 2, 2, 4, 4]",13,15.79052877,,
6,0.62533418,6.07351491,2.6,"[3, 2, 2, 4, 4, 1]",15.6,17.8189826,,
7,0.66183736,6.118249899,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,22.41398072,,
7,0.699710752,5.142946143,2.6,"[1, 3, 3, 2, 2, 4, 4]",18.2,24.23141527,,
6,0.703156362,5.955242301,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.67785692,,
8,0.727314208,1.051327767,2.6,"[3, 2, 2, 2, 4, 4, 1, 1]",20.8,50.24423003,,
4,0.53485371,1.522535158,2.6,"[4, 1, 1, 3]",10.4,0.509113073,,
4,0.502714222,3.189517953,2.6,"[1, 3, 3, 2]",10.4,0.694154501,,
4,0.525615077,1.0665356,2.6,"[4, 4, 1, 1]",10.4,0.884198189,,
