Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case38,23,1.78471995,1.46986128,3.06,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 4, 1, 1, 1]",0.99990033,70.38,57.38575005531311
case39,5,0.314570031,1.15569036,6.0,"[1, 0, 2, 0, 4]",0.99992253,30.0,14.166876077651978
case40,6,0.405880243,4.586045431,5.37,"[2, 2, 4, 0, 0, 0]",0.99997671,32.22,24.146830797195435
case41,13,0.9735371494111138,4.571627652559402,4.01,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 2, 2, 2]",0.99996039,52.129999999999995,45.04712677001953
case42,41,2.943435094855396,0.6339731220473315,2.55,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 0, 0, 0, 1, 0, 2, 2, 4]",0.99995015,104.55,113.19569563865662
case43,19,1.40765551,3.650712431,2.55,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 0, 3, 1, 2]",0.9999661,48.449999999999996,1.7186319828033447
case44,26,2.153268982,3.732405362,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 4, 2, 4]",0.9999234,67.60000000000001,0.4467320442199707
case45,18,1.6863556978711984,6.26850713017563,2.62,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",0.99994844,47.160000000000004,13.03659963607788
case46,18,1.131686809,1.224097056,2.64,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 2, 2, 0, 4, 2, 0, 1]",0.99991636,47.52,1.8905351161956787
case47,6,0.399600249,4.545572503,5.34,"[2, 2, 4, 0, 0, 0]",0.99993111,32.04,25.664603233337402
case48,18,1.449568802,0.11769374,2.65,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 3]",0.99998361,47.699999999999996,1.8597006797790527
case49,27,2.138357478,3.33334984,2.62,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 2, 0]",0.99990327,70.74000000000001,13.949288129806519
case50,27,2.11953828,1.04454901,2.53,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 0, 3, 1]",0.99999917,68.30999999999999,13.72244644165039
case51,10,0.7415461279101048,0.0142536762521898,2.63,"[4, 1, 1, 3, 3, 2, 2, 0, 0, 1]",0.99992957,26.299999999999997,1.6658453941345215
case52,12,1.036723233,0.026588607,4.17,"[1, 1, 3, 3, 2, 2, 4, 1, 0, 2, 4, 0]",0.99993978,50.04,50.266122341156006
case53,6,0.400843654,3.350072662,5.63,"[3, 3, 2, 0, 0, 0]",0.99998806,33.78,25.374431371688843
case54,18,1.414892113,0.755238168,2.61,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 4, 4]",0.99999188,46.98,1.9524562358856201
case55,12,0.8475520444603528,5.258646606171483,2.22,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4]",0.99999389,26.64,16.739124059677124
case56,28,2.105474388,3.409223211,2.54,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 2, 1, 0, 3, 4]",0.99999527,71.12,13.141948461532593
case57,15,1.054397986,5.188335723,3.47,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 3, 0, 4, 4]",0.99993897,52.050000000000004,63.53933143615723
case58,24,1.8546247817213872,3.9767990044779458,2.92,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 1, 0, 2, 2, 4]",0.99992593,70.08,81.4466507434845
case59,18,1.462215684,0.988514291,2.65,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 0, 1, 3]",0.99991358,47.699999999999996,2.5745909214019775
case60,10,0.643831461,2.795273528,2.63,"[3, 3, 2, 2, 4, 4, 1, 2, 2, 2]",0.99991874,26.299999999999997,2.7002713680267334
case61,11,0.896449347,0.506205318,2.54,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0]",0.9999125,27.94,1.7080373764038086
case62,18,1.495905978,3.965017645,2.61,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 2]",0.99992218,46.98,1.72530198097229
case63,10,0.941366941,3.852534677,2.57,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",0.99994028,25.7,1.7206153869628906
case64,26,1.898212345,5.40549477,2.87,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 2, 2, 2, 1, 1]",0.99997426,74.62,85.39742970466614
case65,7,0.516741855,1.169995414,4.94,"[4, 1, 1, 3, 0, 2, 3]",0.9999243,34.580000000000005,36.38958144187927
case66,43,2.94171834,1.600739031,2.54,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 0, 0, 0, 0, 0, 3, 3, 4, 4, 1]",0.99990884,109.22,138.75750851631165
case67,41,3.036575544,5.478173786,2.55,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 0, 0, 0, 0, 1, 0, 3, 3, 2]",0.99997458,104.55,122.55652070045471
case68,27,2.308456777,5.757561973,2.53,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 1]",0.99991912,68.30999999999999,12.866268873214722
case69,27,2.20344185,1.842259531,2.53,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 2]",0.99996051,68.30999999999999,13.069328784942627
case70,18,1.273115092,0.28265568,3.28,"[2, 4, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 2, 4, 1, 1]",0.9999287,59.04,75.3841061592102
case71,5,0.33502006,0.271039646,6.0,"[4, 1, 2, 0, 2]",0.99998109,30.0,14.140668392181396
case72,41,1.7517189538789175,2.508807386997096,2.71,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 4]",0.99999441,111.11,299.07527351379395
case73,26,2.294438287,1.459840234,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 3]",0.99997931,67.60000000000001,0.004891872406005859
case74,26,1.9514909953632624,0.6020944530424488,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 1, 4, 0, 3, 3]",0.99990581,67.60000000000001,0.15628552436828613
case75,5,0.334058655,1.821580851,6.0,"[1, 3, 4, 0, 4]",0.99994162,30.0,14.427580833435059
case76,14,1.111826918,2.270949286,3.64,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 1, 1, 1, 3]",0.99990844,50.96,59.90092396736145
case77,34,2.77930197,4.6396874,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 4, 3, 3, 2]",0.9999317,88.4,2.266472101211548
case78,41,2.886956159,0.202508432,2.58,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 0, 0, 0, 1, 1, 2, 2, 4]",0.99996729,105.78,108.49924278259277
case79,24,1.8747497441591248,1.461357194320888,2.9,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 4, 1, 1, 1, 2]",0.99999486,69.6,86.83705258369446
case80,11,0.94415331,0.32088886,2.7,"[4, 4, 1, 1, 3, 3, 3, 4, 4, 1, 1]",0.99993806,29.700000000000003,10.710257291793823
case81,18,1.32879686,3.22915822,2.64,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1, 1, 4]",0.99999015,47.52,1.6949858665466309
case82,32,2.516285503,4.315492644,2.7,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 0, 0, 1, 3, 1, 2]",0.99990932,86.4,78.07765746116638
case83,23,1.6575883896244494,6.204048304552453,3.07,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 2, 4, 4, 1]",0.99998756,70.61,65.90921187400818
case84,43,3.134447869,3.287095409,2.54,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3]",0.99996873,109.22,139.63341975212097
case85,26,1.9240805378277244,6.078787724657244,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 1, 2, 4, 1, 1, 0]",0.99996762,67.60000000000001,0.0029990673065185547
case86,9,0.702220519,2.858525553,4.46,"[4, 1, 1, 3, 3, 2, 3, 1, 2]",0.99996137,40.14,38.78138589859009
case87,33,2.65095747,5.87468844,2.61,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 3, 2, 2]",0.99991557,86.13,10.841047286987305
case88,27,1.936269075309948,1.0640884271459647,2.53,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 2, 2, 4, 3, 2]",0.99999643,68.30999999999999,11.090875387191772
case89,28,2.011982045266416,1.8932283685850293,2.54,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 4, 2, 4, 0, 0, 2]",0.99996337,71.12,10.86340618133545
case90,14,0.871857857,4.655785176,3.65,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 4, 2, 4]",0.99991729,51.1,51.06578826904297
case91,26,2.06147614,4.510338569,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2, 4, 3]",0.99991244,67.60000000000001,0.552025556564331
case92,41,2.980818904973036,5.10147392128333,2.56,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 0, 0, 0, 0, 1, 0, 3, 3, 0]",0.99991757,104.96000000000001,101.98455762863159
case93,25,1.6863883045382757,5.624176568110108,2.77,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 0, 0, 0, 0, 0, 0]",0.99998605,69.25,88.15477848052979
case94,41,2.721170349,2.498436914,2.59,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 2, 1, 1, 0, 0, 0, 2, 0, 4, 4, 3]",0.9999295,106.19,92.12638401985168
case95,16,1.129846376,4.086173169,3.58,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 3, 3, 2, 2]",0.99992933,57.28,51.6718385219574
case96,27,2.039479686,4.285967128,2.52,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2, 4, 4]",0.99991614,68.04,13.895277261734009
case97,33,2.449043067,5.806737735,2.71,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 0, 0, 0, 0, 0, 2]",0.99994229,89.42999999999999,66.88984751701355
case98,19,1.436324432,5.219759536,2.64,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 4, 3, 3, 3, 2, 2, 4]",0.99996666,50.160000000000004,1.3894016742706299
case99,6,0.402772554,1.75505861,5.61,"[1, 1, 3, 0, 0, 0]",0.99999166,33.660000000000004,19.95346236228943
case100,27,2.179513281964868,1.6096594572376783,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 2, 3, 1]",0.99999147,70.2,0.0020029544830322266
