gate length,Theta,Phi,dt,combination,total time,computing time
26,2.323666304,2.194025375,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2]",67.6,53.8721292
10,0.749678591,4.778883169,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 0, 0]",26,17.5505805
1,1.185205292,2.935178659,2.6,[-1],2.6,3292.737971
11,1.049614379,2.88080776,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",28.6,7.954942465
26,2.057039841,2.581223707,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 4, 3]",67.6,1095.804858
1,1.694670613,5.010022671,2.6,[-1],2.6,3299.384028
18,1.321435106,1.582109268,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 1, 0, 2]",46.8,745.2637682
0,0.061414509,5.278920581,2.6,[],0,0
26,2.08207668,5.646517257,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 3, 4, 2]",67.6,721.3062046
11,0.793992042,3.680595986,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 2, 2, 4]",28.6,123.2575533
2,0.29726834,0.841222641,2.6,"[1, 1]",5.2,0.063148737
18,1.27406712,0.756837103,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0, 0, 2, 1, 0]",46.8,1717.863094
11,0.848030002,5.335297847,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 1]",28.6,23.99417615
33,2.839379452,3.611516696,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 1]",85.8,208.5548599
9,0.612600311,3.862327556,2.6,"[2, 2, 4, 4, 1, 3, 3, 0, 4]",23.4,30.62716198
33,2.952021768,4.298759643,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3]",85.8,153.117924
0,0.061639755,3.023854936,2.6,[],0,0
33,2.863959054,3.100109571,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",85.8,237.7233205
26,2.399124368,6.212401648,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",67.6,25.46468568
18,1.848697804,5.54537275,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,10.48216486
