gate length,Theta,Phi,dt,combination,total time,computing time
18,1.425957267,2.67752126,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 2]",46.8,321.7555401
18,1.277475835,2.929429204,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 1, 1, 3, 2, 0]",46.8,4608.459153
33,3.033170934,2.99581441,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1]",85.8,192.34375
32,2.963805021,0.37375328,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",83.2,52.15985823
18,1.529788837,1.501943356,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 0]",46.8,49.39204073
27,2.430908625,5.089458307,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 0, 4]",70.2,67.94171238
3,0.407948201,6.044431018,2.6,"[4, 4, 1]",7.8,1.692146778
26,2.422326797,0.573178449,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",67.6,30.93480563
32,3.106246376,1.106477579,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",83.2,45.90221238
1,1.29983686,3.608202806,2.6,[-1],2.6,4594.760627
10,0.612492058,0.708798809,2.6,"[4, 1, 1, 3, 3, 2, 0, 1, 1, 3]",26,334.6506658
26,2.16176191,4.368735905,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3, 1]",67.6,438.2552502
10,0.81700077,1.090255021,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 1, 0]",26,21.15717196
18,1.463142111,4.727225598,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 3, 4]",46.8,114.2593572
1,3.085326425,1.744124341,2.6,[-1],2.6,3300.865461
18,1.519584392,4.349091137,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 1, 3, 3, 2, 4]",46.8,176.2189398
26,2.20364987,3.61944542,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 4, 2]",67.6,264.6202376
11,0.952628647,2.956012238,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2]",28.6,15.8762126
33,2.938358217,3.242071576,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",85.8,162.1062946
1,1.896705013,3.894104715,2.6,[-1],2.6,5012.509107
19,1.384633324,2.886482953,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 1, 2, 4]",49.4,1628.17155
0,0.183590528,4.389155306,2.6,[],0,0
