Case,gate lenght,Theta,Phi,dt,combination,total time,computing time
case1964,12,2.060136341967519,1.646982927244585,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3]",60,6.812911033630371
case1965,7,1.1646895746930777,3.9679765764321555,5,"[1, 3, 4, 4, 1, 3, 2]",35,5.790269374847412
case1966,13,1.858203998634992,3.0986314535951847,5,"[2, 4, 1, 3, 2, 2, 4, 3, 3, 4, 1, 1, 3]",65,256.11384558677673
case1967,1,0.3035066469219224,0.41623032507859814,5,[1],5,0.013003110885620117
case1968,5,0.9126962999615652,0.7760474244109175,5,"[1, 3, 4, 4, 1]",25,4.24492883682251
case1969,3,0.5898702129769462,4.180759841703172,5,"[1, 3, 2]",15,0.8951973915100098
case1970,13,2.17551310284572,6.038807785884569,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",65,25.729968309402466
case1971,16,2.5213492264587463,1.0366486450938157,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 1, 3]",80,139.0217523574829
case1972,5,0.7866206894575563,5.714878892336945,5,"[4, 1, 3, 2, 1]",25,4.9070823192596436
case1973,8,1.2217427109984555,2.480961659159203,5,"[2, 4, 3, 3, 4, 4, 1, 3]",40,29.122716426849365
case1974,9,1.3710001282777557,2.867281343676552,5,"[2, 4, 4, 1, 3, 4, 1, 1, 3]",45,107.95281291007996
case1975,9,1.287872367271149,5.897449911083176,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4]",45,45.38386082649231
case1976,0,0.09753639076953792,2.4684711876604752,5,[],0,0.002000093460083008
case1977,18,2.896756130575184,4.085125458132446,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,226.60798621177673
case1978,11,1.5215289407450614,5.38466292711132,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 3, 4]",55,175.07027745246887
case1979,12,2.1872366384842556,4.950851933318152,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",60,5.813659906387329
case1980,15,2.478807566281083,0.10758981766072831,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",75,29.99460792541504
case1981,12,1.8810358830814682,1.6485158232445718,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 0, 3]",60,64.83667874336243
case1982,6,1.091441284225544,5.05258767138616,5,"[2, 4, 1, 3, 2, 4]",30,1.9374184608459473
case1983,0,0.12979171096874695,0.30555468058227264,5,[],0,0.0020012855529785156
case1984,13,1.947247775794465,2.76198408012807,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3]",65,142.2730212211609
case1985,7,1.161150207113489,2.117029506137353,5,"[4, 1, 3, 2, 4, 1, 1]",35,2.9906599521636963
case1986,16,2.8041424795680245,1.3591417892669806,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",80,66.17499232292175
case1987,0,0.04338974212065631,3.1130561271670443,5,[],0,0.002000093460083008
case1988,15,2.589148931655471,0.17117334844424834,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4]",75,36.107375383377075
case1989,8,1.4028450346100918,5.189881825645159,5,"[1, 3, 2, 4, 1, 3, 2, 4]",40,2.938647508621216
case1990,18,2.9755332189114942,4.4875210310905,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,184.0245931148529
case1991,4,0.6374006328519324,6.003389620368049,5,"[1, 3, 4, 4]",20,2.201477289199829
case1992,17,2.619281357556188,5.639724623751003,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",85,296.00739431381226
case1993,9,1.69043990443796,3.6710197837846184,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.220710277557373
case1994,12,1.9796601033824586,1.7858876545461797,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 3]",60,20.04350733757019
case1995,3,0.5682216972019429,1.0351708358335798,5,"[2, 4, 1]",15,0.39708828926086426
case1996,17,2.8419522220097044,3.3503965388124586,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 3]",85,111.3448715209961
case1997,9,1.50843753921738,2.3397278413106086,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3]",45,23.637213706970215
case1998,0,0.10529977942029962,4.217298266681365,5,[],0,0.002000570297241211
case1999,0,0.0698636128216299,4.762503511500033,5,[],0,0.002000570297241211
case2000,12,2.066405988884518,5.119246907812795,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2]",60,10.642874717712402
case2001,17,2.7943165532834837,0.5762934487236124,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 4]",85,104.41255402565002
case2002,1,0.37324902610678884,0.8769528038048766,5,[1],5,0.013003110885620117
case2003,0,0.10160361477523959,1.675343653490225,5,[],0,0.0020003318786621094
case2004,15,2.40409844285774,2.3296178833596835,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3]",75,103.29078388214111
case2005,18,3.003068237444809,2.034882343180459,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 1, 1]",90,206.29279613494873
case2006,19,3.106492431106612,2.065719071328621,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4]",95,315.43299317359924
case2007,14,2.384758776224589,4.9834853018937055,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2]",70,18.529374599456787
case2008,17,2.6579360114395696,3.3667584768553827,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4, 1, 3]",85,313.2365324497223
case2009,11,1.526612580146152,2.757824985390267,5,"[1, 3, 3, 4, 1, 1, 3, 2, 4, 3, 3]",55,159.0750892162323
case2010,8,1.3051777416238448,1.458918453077108,5,"[2, 4, 1, 3, 3, 2, 4, 1]",40,35.83819603919983
case2011,16,2.61318756918611,2.1677787802369117,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 4, 1]",80,119.23579716682434
case2012,11,1.8971039730194508,2.3822550357495325,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3]",55,34.66494154930115
case2013,16,2.4846236317335855,4.021921120186687,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 1, 3, 2, 4]",80,256.5221161842346
case2014,16,2.681694857862343,1.8533838811371366,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",80,75.75169372558594
case2015,18,2.835618605448441,4.291382908148587,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 1, 1, 2, 2]",90,288.0257649421692
case2016,15,2.5498730672084085,2.3541772573113904,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3]",75,119.5771312713623
case2017,13,1.8088941687826077,6.176118313264433,5,"[1, 3, 2, 4, 4, 3, 3, 4, 1, 1, 3, 2, 1]",65,226.2521562576294
case2018,8,1.3127738732464196,4.785570431703819,5,"[1, 3, 2, 4, 4, 3, 3, 2]",40,33.73743510246277
case2019,0,0.12930701455253762,3.1337652417376773,5,[],0,0.001991748809814453
case2020,6,1.0701490516309284,0.6700582668424362,5,"[4, 1, 3, 2, 4, 1]",30,1.7723829746246338
case2021,5,0.8725206674804773,3.522281905895534,5,"[2, 4, 1, 3, 2]",25,1.552690029144287
case2022,8,1.3855979958241655,5.501111353025787,5,"[1, 3, 4, 4, 1, 3, 2, 4]",40,8.627935647964478
case2023,18,2.9101536925595552,5.080407735870824,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,185.26438665390015
case2024,19,3.13843836162744,4.410824992826119,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4, 1, 3]",95,302.387268781662
case2025,10,1.6103840382426047,0.8251473882644431,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",50,25.975080728530884
case2026,0,0.12101128645041967,2.91407150397867,5,[],0,0.003000497817993164
case2027,14,2.26764753882568,3.619333661828881,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",70,55.22063708305359
case2028,14,2.2678895385146065,0.4747013373348732,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",70,53.35013747215271
case2029,11,1.9573325111149362,3.3898002925453,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",55,4.907080411911011
case2030,10,1.6381960503323694,2.1547703678984025,5,"[1, 3, 4, 4, 1, 3, 2, 4, 1, 3]",50,10.859753131866455
case2031,1,0.34109635617219963,2.5384473695102683,5,[3],5,0.015003204345703125
case2032,9,1.369508365491115,2.3823932305584212,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3]",45,25.589043378829956
case2033,8,1.3003576075817826,3.5695485833224825,5,"[4, 1, 3, 2, 4, 1, 1, 2]",40,5.462212800979614
case2034,15,2.406454383446172,5.547948730123518,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",75,82.11909794807434
case2035,12,1.8278323474278477,4.568311565574598,5,"[1, 3, 2, 4, 4, 3, 3, 4, 4, 1, 3, 2]",60,198.33379292488098
case2036,12,1.7079856523974781,4.515017115031562,5,"[1, 3, 2, 4, 4, 3, 3, 4, 4, 1, 3, 2]",60,179.35499596595764
case2037,15,2.566216407834424,6.179980418061579,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",75,30.09091591835022
