Case,gate length,Theta,Phi,dt,DL combination,DL fidelity,DL real time,DL computing time
case5471,35,2.7532611117795818,1.7079568281512072,2.6,[0 0 1 0 3 2 4 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 1 4 3],0.03723,91.0,0.12323
case5472,35,0.3176085719130374,3.275462209773126,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2],0.97499,91.0,0.15335
case5473,35,2.530098708813343,1.7757451203992318,2.6,[0 0 0 0 0 0 0 0 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 2],0.0906,91.0,0.11037
case5474,35,2.0386391130655457,5.288234587702073,2.6,[0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 0 3 3 1],0.27452,91.0,0.14024
case5475,35,1.3667587631867033,1.189546272380221,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 1 3 3 3 3 2 2 4 1 1 0],0.60131,91.0,0.08288
case5476,35,0.28326305246546174,1.0589054009782737,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],0.98007,91.0,0.11108
case5477,35,0.7007152279019259,0.025255997647183757,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 2 1],0.88219,91.0,0.11275
case5478,35,0.7590533134133739,6.017153165997231,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 4 4 1],0.86274,91.0,0.10155
case5479,35,0.0950262211574769,4.23872794915765,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99774,91.0,0.11608
case5480,35,1.6954807418459108,0.07848048055107326,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1],0.43782,91.0,0.21185
case5481,35,2.102073379916381,1.5459819670413306,2.6,[0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 0 1],0.24668,91.0,0.16167
case5482,35,0.5696207291258683,4.55198604541918,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4],0.92105,91.0,0.14177
case5483,35,1.8392979878594493,0.3452834783692687,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1],0.36736,91.0,0.13273
case5484,35,0.4112992084532772,5.992084145307329,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4],0.9583,91.0,0.10835
case5485,35,0.5515837399577559,5.314311349352091,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4],0.92585,91.0,0.11136
case5486,35,2.1900665319357873,2.4815031806135393,2.6,[0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 4 1 1 0],0.20978,91.0,0.08673
case5487,35,0.6305169682713386,4.212186964622056,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 1 1 3 3 2 2],0.90386,91.0,0.1979
case5488,35,1.2419983753180057,2.2283427969699168,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3],0.66145,91.0,0.10918
case5489,35,0.757783480468639,3.305244821567075,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 4 4 1 1 3 2 0],0.86318,91.0,0.11902
case5490,35,1.652530038084943,4.335287362438612,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 2 2 4 4 1 1 1 3 3 2 4],0.45918,91.0,0.10207
