Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case71,1,1.2977998200717977,1.4861868772718239,3.4151964703217046,2.6,[-1],2.6,2092.6813263893127
case72,1,1.793700369927643,1.6059243840890323,4.272091631188665,2.6,[-1],2.6,2071.1447236537933
case73,2,0.30430714516840374,2.8218964155421165,3.0457973274299146,2.6,"[2, 2]",5.2,0.048398733139038086
case74,26,2.3896391931334953,6.010679076673569,3.0316569366926616,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",67.60000000000001,15.82242751121521
case75,18,1.46049542175266,6.153357203612745,4.269396389003339,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 1]",46.800000000000004,80.60731863975525
case76,26,2.2201082280531903,1.6722114279588722,2.0549841430962883,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 4, 4]",67.60000000000001,90.39447379112244
case77,33,3.054995467710848,4.007392152263803,5.768768538679827,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",85.8,68.83222889900208
case78,1,1.108649459678959,6.231703697302166,3.4146437422336837,2.6,[-1],2.6,2208.6020560264587
case79,19,1.626510456920857,2.0817869041901114,5.0112723366753364,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,291.56743121147156
case80,19,1.5746101521523868,5.22016664103248,0.16148504635922195,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 3]",49.4,325.76435446739197
case81,18,1.8495235418096003,3.832677225050196,2.3569862559667967,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.800000000000004,6.527015924453735
case82,33,2.6352258266031674,4.132822855825603,5.130217647953776,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 4, 2, 3]",85.8,963.9523499011993
case83,10,0.8021922791077619,0.862241509358008,3.9627609319389445,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 2]",26.0,7.854305267333984
case84,27,2.561142018791778,3.7887870680140923,5.858018057621876,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",70.2,13.105065822601318
case85,18,1.4886513517437558,3.6185453935980183,2.2793344021304116,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 0]",46.800000000000004,39.593998193740845
case86,18,1.2451725197935979,4.70178117250092,4.009410189988628,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 4, 4, 0, 1]",46.800000000000004,1466.328885793686
case87,19,1.627963177067833,2.589663723697059,3.42682313293484,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 3, 3, 2, 2, 4]",49.4,282.8790214061737
case88,10,1.1041271300632238,1.7125709494727028,1.519905632043498,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",26.0,2.705040454864502
case89,19,1.6354518713315152,0.19782428975206598,5.18549997948738,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 1, 2, 2, 2, 4, 1, 1]",49.4,182.1636884212494
case90,1,1.3190250008855076,1.5870965995430557,3.612556807846634,2.6,[-1],2.6,2083.4710268974304
case91,3,0.43066299161372734,3.6164979136632267,3.0656654209049163,2.6,"[2, 2, 4]",7.800000000000001,0.7238929271697998
case92,18,1.7448895713575956,0.03016489299163372,3.1777770174800266,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",46.800000000000004,6.05763053894043
case93,18,1.2696898261696707,5.758544769056908,3.030943074584614,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 0, 3, 2]",46.800000000000004,748.0872538089752
case94,1,1.7930476537484874,1.4337857775421219,1.3225019496770918,2.6,[-1],2.6,2144.348940849304
